[2016-11-02 18:57:15] ShadowsocksR started on port 1080
[2016-11-02 18:58:18] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:18] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:19] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:19] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:20] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:20] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:20] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:20] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:20] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:21] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:21] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:22] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:22] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:23] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:23] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:24] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:26] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:27] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:38] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:42] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:43] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:44] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:44] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:46] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:46] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:47] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:48] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:51] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:51] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:58:53] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:59:05] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
